# Codex wall reviews - generated by `vostok data review`; do not hand-edit.
# function	src_hash	diff_hash	status	wall_class	evidence
??$?0V?$vector@V?$basic_resolver_entry@Vudp@ip@asio@boost@@@ip@asio@boost@@V?$allocator@V?$basic_resolver_entry@Vudp@ip@asio@boost@@@ip@asio@boost@@@stlp_std@@@stlp_std@@@shared_count@detail@boost@@QAE@PAV?$vector@V?$basic_resolver_entry@Vudp@ip@asio@boost@@@ip@asio@boost@@V?$allocator@V?$basic_resolver_entry@Vudp@ip@asio@boost@@@ip@asio@boost@@@stlp_std@@@stlp_std@@@Z	d59b8858ba03	0ae1bc19e9a6	bounded	inline	Retail calls std::bad_alloc construction/destruction while candidate inlines that same source expression, exposing _bad_alloc_Message and the bad_alloc vtable only on the candidate side.
??0?$Matrix4x4@M@Render@Scaleform@@QAE@XZ	925f50c54df2	e0f6ec8d681e	bounded	other	Retail materializes all four identity diagonals from relocated 1.0f while candidate uses x87 fld1; the empty PDB body and SetIdentity source semantics are identical.
??0MatrixState@Render@Scaleform@@QAE@PAVHAL@12@@Z	20e534328698	2060b866327c	bounded	other	Retail materializes Matrix identity 1.0f through a relocated clear_value load while candidate uses the x87 fld1 instruction; the constructor source and value are identical.
??0MatrixState@Render@Scaleform@@QAE@XZ	20e534328698	2060b866327c	bounded	other	Retail materializes Matrix identity 1.0f through a relocated clear_value load while candidate uses the x87 fld1 instruction; the constructor source and value are identical.
??0animated_model_instance_cook@physics@vostok@@QAE@XZ	a062b3eb49d1	0995810c1379	bounded	inline	Target source/PDB constructor or allocator setup agrees; retail retains GetCurrentThreadId through the cook/thread-id helper while candidate folds or inlines that helper boundary.
??0bullet_character_controller@physics@vostok@@QAE@PAVbtPairCachingGhostObject@@ABVfloat2@math@2@1FF@Z	a5ac1a155462	810e4a556ed9	bounded	other	The one target statement and initializer list agree, including cosf(math::pi_d3); retail calls the x87 float CRT entry while candidate selects the SSE2 double libm helper and therefore alone retains its double pi/3 constant.
??0collision_shape_cook@physics@vostok@@QAE@_N@Z	a062b3eb49d1	1a5b244928e6	bounded	inline	Target source/PDB constructor or allocator setup agrees; retail retains GetCurrentThreadId through the cook/thread-id helper while candidate folds or inlines that helper boundary.
??1Renderer2DImpl@Render@Scaleform@@UAE@XZ	1b4559b1bbca	2a024c607514	bounded	referent	The destructor has the same three source statements and operations; its final folded vtable address is named InitStruct<String> in retail and TextureGlyphVisitor in candidate, two ICF-selected aliases rather than different source data.
??1game@survarium@@UAE@XZ	8aeee3efe337	2f361d86b95e	bounded	inline	Both destructors have the same 12 statements and 46-block CFG; user.cfg is present in source and target but candidate constant-propagates it through console_commands::save.
??_GRenderBufferManager@RBGenericImpl@Render@Scaleform@@UAEPAXI@Z	d01d2b5adbfd	9ce7e41effc9	bounded	inline	The scalar deleting destructor has zero source statements on both sides; retail inlines RenderBufferManager destruction and its base-vptr stores while candidate calls the out-of-line destructor.
??_Gfunctor_order@network@vostok@@UAEPAXI@Z	8952fb926eb9	3a02ee4e641e	bounded	masked	Retail omits only the concrete functor_order vptr store immediately overwritten by the order base destructor; the generated destructor has one source statement on both sides.
??_Gfunctor_response@network@vostok@@UAEPAXI@Z	71e786eae271	b2f5349f7a77	bounded	masked	Retail omits only the concrete functor_response vptr store immediately overwritten by the response base destructor; the generated destructor has one source statement on both sides.
??_Gparticle_action_gravity@particle@vostok@@UAEPAXI@Z	615dac4b5b63	4f2fea937764	bounded	masked	Retail omits only the concrete particle_action_gravity vptr store immediately overwritten by its two base destructor stores; the generated destructor has one source statement on both sides.
?Alloc@speed_tree_allocator@render@vostok@@UAEPAXI@Z	f81551dca406	113a2b685bd7	bounded	inline	The target and candidate share three statements, three CFG blocks and allocation/accounting/null-throw behavior; retail expands the bad_alloc path while candidate calls the retained helper.
?activate@weapon_core@survarium@@UAEXAAUbase_player@2@AAUengine@2@@Z	8438285b60fb	aa2e15d087bc	bounded	inline	Retail/candidate have the exact 50 statements and named locals; the candidate-only Boost stored-vtable is from expanding callback assignment where retail inlines/calls the opposite helper boundary.
