# vostok matching ledger - generated by vostok.ledger.store. DO NOT hand-edit.
#   one row per target function; the derived roster is rebuilt from report.json
#
#   cur    fuzzy % in this build (noisy under LTCG/ICF)
#   max    peak for THIS source body (`hash`); resets only when `hash` changes.
#          Campaign goal: drive every max to 100.
#   hist   all-time peak; NEVER resets. hist > max = we had it better once.
#   tries  matcher dispatches that included this function (high = hard to match).
#          It moves ONLY when someone runs `vostok ledger tried` - a build that
#          changes the body does NOT bump it.
#   hash   12 hex chars of the function's own source body. Module/TU context is
#          deliberately excluded - it is diagnosis, not a gate.
#   cls    MATCH (statements identical) | SIZE (same count+geometry, bytes
#          differ) | QUANTITY (counts differ) | SPLIT (counts equal, unpairable)
#   status done (max>=100) | inprogress | blocked (something missing) |
#          parked (failed to raise it further)
mangled	unit	module	status	cls	cur	max	hist	tries	size	flags	hash	note
??$?0$$BY00$$CBD@path_string_impl@fs_new@vostok@@QAE@DAAY00$$CBD@Z	vostok/fs/path_string_impl_inline.h	fs	parked	QUANTITY	32.1176	36.8824	36.8824	1	50		e492b03076e5	fs: structure faithful (verified). 5 TRGT_ONLY injected (open_cached_file 28-stmt cache fn, open_file_cache ctor, path_string_impl::operator=, convert_to_absolute_path_inplace + dtor) + a self-guard fix cascaded to 8 improvements. Residuals = /Ob2 inline-vs-call + ICF-fold codegen (SAME flags as target, /Ob2 picks inline-vs-call per-site on incomplete-program reachability). The 10 un-injectable TRGT_ONLY are ICF-folds (already in base under another COMDAT) / inline walls / need-reachability-from-outside-fs - require vtable-emission/delink-attribution, not source. Not steerable per-fn.
??$?0$$BY00$$CBD@virtual_path_string@fs_new@vostok@@QAE@AAY00$$CBD@Z	vostok/fs/virtual_path_string.h	fs	parked	MATCH	31.7692	59.5385	59.5385	0	30		2d67372fbfed	fs: structure faithful (verified). 5 TRGT_ONLY injected (open_cached_file 28-stmt cache fn, open_file_cache ctor, path_string_impl::operator=, convert_to_absolute_path_inplace + dtor) + a self-guard fix cascaded to 8 improvements. Residuals = /Ob2 inline-vs-call + ICF-fold codegen (SAME flags as target, /Ob2 picks inline-vs-call per-site on incomplete-program reachability). The 10 un-injectable TRGT_ONLY are ICF-folds (already in base under another COMDAT) / inline walls / need-reachability-from-outside-fs - require vtable-emission/delink-attribution, not source. Not steerable per-fn.
??$?0$01$01@draw_lines_command@debug@render@vostok@@QAE@ABV?$resource_ptr@Ubase_scene@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@AAVworld@engine@23@AAVbase_allocator@memory@3@AAY01$$CBUvertex_colored@23@AAY01$$CBG_N@Z	vostok/render/facade/sources/debug_draw_lines_command_inline.h	render	done	MATCH	100	100	100	1	141	f	f9031ac6ea67	auto: at 100% ceiling, demoted from queue
??$?0$02$02@draw_triangles_command@debug@render@vostok@@QAE@ABV?$resource_ptr@Ubase_scene@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@AAVworld@engine@23@AAVbase_allocator@memory@3@AAY02$$CBUvertex_colored@23@AAY02$$CBG_N@Z	vostok/render/facade/sources/debug_draw_triangles_command_inline.h	render	done	MATCH	100	100	100	1	142	f	f9031ac6ea67	auto: at 100% ceiling, demoted from queue
??$?0$05$05@draw_lines_command@debug@render@vostok@@QAE@ABV?$resource_ptr@Ubase_scene@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@AAVworld@engine@23@AAVbase_allocator@memory@3@AAY05$$CBUvertex_colored@23@AAY05$$CBG_N@Z	vostok/render/facade/sources/debug_draw_lines_command_inline.h	render	done	MATCH	100	100	100	0	141	f	f9031ac6ea67	
??$?0M@shader_constant_binding@render@vostok@@QAE@ABVshared_string@2@PBM@Z	vostok/render/core/shader_constant_binding_inline.h	render	blocked				0	0	51	f		
??$?0P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@12@@Z@?$function9@XPAXPBDIPBDPBDW4verbosity@logging@vostok@@PBDIW4callback_flag@23@@boost@@QAE@P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@34@@ZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	69	f	bbe132cd2f39	
??$?0P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@12@@Z@?$function@$$A6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@23@@Z@boost@@QAE@P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@34@@ZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	18	f	a2d94b68e81d	
??$?0P6AXXZ@?$function0@X@boost@@QAE@P6AXXZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	69	f	bbe132cd2f39	auto: at 100% ceiling, demoted from queue
??$?0P6AXXZ@?$function@$$A6AXXZ@boost@@QAE@P6AXXZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	13	f	a2d94b68e81d	auto: at 100% ceiling, demoted from queue
??$?0PADPBDPBD@tuples@detail@strings@vostok@@QAE@PADPBD1@Z	vostok/strings_detail_tuples_inline.h	vostok	done	MATCH	100	100	100	1	121	f	c0c45f7a4e40	auto: at 100% ceiling, demoted from queue
??$?0PAX@?$vectora_allocator@V?$fixed_vector@I$0CA@@vostok@@@vostok@@QAE@ABV?$vectora_allocator@PAX@1@@Z	vostok/vectora.h	vostok	done	MATCH	100	100	100	0	26		9a34355f0ff1	
